Date,Open,High,Low,Close,Vol
31/08/2020 10:00,1.1917,1.19171,1.19091,1.19099,2176
31/08/2020 10:15,1.19098,1.19218,1.19098,1.19184,2286
31/08/2020 10:30,1.19183,1.19217,1.1916,1.19187,2754
31/08/2020 10:45,1.1919,1.19264,1.19176,1.19191,3435
31/08/2020 11:00,1.19192,1.19341,1.19184,1.19324,3899
31/08/2020 11:15,1.19326,1.19358,1.19302,1.19348,2427
31/08/2020 11:30,1.19347,1.19379,1.19312,1.19376,3392
31/08/2020 11:45,1.19378,1.194,1.19357,1.19392,2382
31/08/2020 12:00,1.19393,1.19397,1.19334,1.19395,3487
31/08/2020 12:15,1.19398,1.19404,1.19332,1.19333,2774
31/08/2020 12:30,1.19333,1.1935,1.1929,1.19298,2731
31/08/2020 12:45,1.19296,1.19376,1.19291,1.1934,2939
31/08/2020 13:00,1.19344,1.19438,1.19286,1.19433,3685
31/08/2020 13:15,1.19433,1.19486,1.19351,1.19385,3803
31/08/2020 13:30,1.19384,1.19387,1.19312,1.19337,4033
31/08/2020 13:45,1.19338,1.19364,1.1921,1.19244,7153
31/08/2020 14:00,1.19242,1.19429,1.19234,1.19417,4257
31/08/2020 14:15,1.19418,1.1948,1.19341,1.19462,10391
31/08/2020 14:30,1.19462,1.19501,1.19411,1.19484,13685
31/08/2020 14:45,1.19484,1.1966,1.19449,1.19605,23431
31/08/2020 15:00,1.19605,1.19606,1.19452,1.19542,283916
31/08/2020 15:15,1.19543,1.19596,1.1946,1.19463,359384
31/08/2020 15:30,1.19461,1.19487,1.19422,1.19447,39350
31/08/2020 15:45,1.19446,1.19598,1.19446,1.19505,6230
31/08/2020 16:00,1.19508,1.19517,1.19416,1.19417,5518
31/08/2020 16:15,1.1942,1.19477,1.19415,1.19456,3092
31/08/2020 16:30,1.19457,1.1948,1.19434,1.19443,12437
31/08/2020 16:45,1.19445,1.19463,1.19399,1.19441,2221
31/08/2020 17:00,1.19442,1.19495,1.19435,1.19448,2890
31/08/2020 17:15,1.19447,1.19501,1.19447,1.19453,1722
31/08/2020 17:30,1.19453,1.19461,1.19427,1.19435,1367
31/08/2020 17:45,1.19436,1.1947,1.19424,1.19434,931
31/08/2020 18:00,1.19432,1.19434,1.19386,1.19404,2052
31/08/2020 18:15,1.19402,1.19414,1.19334,1.19374,2304
31/08/2020 18:30,1.19374,1.19401,1.19366,1.19383,1614
31/08/2020 18:45,1.19384,1.19409,1.1934,1.19346,3321
31/08/2020 19:00,1.19344,1.19372,1.19322,1.19336,2677
31/08/2020 19:15,1.19336,1.19339,1.19273,1.19305,2835
31/08/2020 19:30,1.19305,1.1932,1.19256,1.193,2197
31/08/2020 19:45,1.19299,1.19346,1.19293,1.1933,2442
31/08/2020 20:00,1.19331,1.19387,1.19282,1.19288,1215
31/08/2020 20:15,1.19292,1.19351,1.1929,1.19343,404
31/08/2020 20:30,1.19342,1.19369,1.19321,1.19352,517
31/08/2020 20:45,1.19353,1.19386,1.19335,1.19361,584
31/08/2020 21:00,1.19358,1.19399,1.1932,1.19361,156
31/08/2020 21:15,1.19358,1.19367,1.19351,1.19353,124
31/08/2020 21:30,1.19352,1.19373,1.19351,1.19368,370
31/08/2020 21:45,1.19378,1.19398,1.19378,1.1939,130
31/08/2020 22:00,1.19391,1.194,1.19374,1.19391,495
31/08/2020 22:15,1.19392,1.19398,1.19371,1.19371,683
31/08/2020 22:30,1.1937,1.1939,1.19363,1.1939,531
31/08/2020 22:45,1.19393,1.19393,1.1937,1.19371,528
31/08/2020 23:00,1.19369,1.19386,1.19357,1.1936,1026
31/08/2020 23:15,1.19361,1.19375,1.19361,1.19372,495
